AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp
1.0892208,1.0866545,-0.13324451,-0.021838432,-0.050701816,-0.044058654,NORMAL,3581911
-0.14828277,-0.28935236,0.9191227,-0.043829583,0.43676865,0.08666651,AGGRESSIVE,3582880
1.6964655,1.5538425,-0.74137306,-0.056046885,0.03970624,0.005421429,AGGRESSIVE,3582515
-2.6852078,-0.235533,0.9222088,0.06001751,0.0018325958,0.14164437,NORMAL,3581763
-0.6101984,-0.8844038,-0.224679,0.027641652,0.02443461,0.034132097,NORMAL,3581982
2.129252,-3.494373,-0.13287163,-0.062155537,-0.108123146,-0.008628472,AGGRESSIVE,3582400
-0.9998747,0.10331097,0.87223244,-0.012675454,-0.019547688,0.03718642,NORMAL,3581725
1.3845072,0.6212728,-0.5878267,-0.04932737,-0.09896017,-7.6358156e-05,SLOW,3583366
0.015489757,-0.43333888,0.65505695,0.10827587,0.00061086525,0.6309474,NORMAL,3582269
-1.1739001,0.18183313,-0.30236626,-0.0071776668,0.036651913,0.0041996986,NORMAL,3581712
0.58610845,-0.19526601,-2.0846567,-0.038331795,0.03726278,-0.022067508,AGGRESSIVE,3582494
-0.046687663,-0.018172577,-0.26608372,-0.009010263,-0.018936822,0.0005345071,SLOW,3583234
0.51459014,0.5801043,-0.65831375,-0.048716504,0.077579886,0.04268421,SLOW,3583644
0.1085875,-0.61211646,0.68674374,-0.020005837,0.014049901,0.0035888334,NORMAL,3581791
-0.26778007,-0.6139917,0.22201538,0.03436117,-0.06780604,-0.014737124,SLOW,3583367
0.45495677,0.4233096,0.17937946,-0.07192938,-0.036651913,0.075670935,NORMAL,3581653
-0.19844723,-0.32558525,-0.52350044,0.038026363,-0.00061086525,-7.6358156e-05,SLOW,3583398
-0.22363114,0.83588785,-0.5521412,-0.023060163,0.07819075,0.0017562376,SLOW,3583386
-0.18035567,-0.25935405,0.7534313,-0.009010263,0.05131268,0.005421429,AGGRESSIVE,3582662
2.0276046,0.20543319,-0.85387516,-0.064599,0.03176499,-0.09170614,AGGRESSIVE,3582455
0.9344952,-0.6028745,-0.9066706,-0.013897184,-0.02687807,0.02313652,SLOW,3583286
-0.26526672,-0.6466679,-0.37948132,0.016035212,-0.014049901,0.1782963,AGGRESSIVE,3582909
-3.0195973,-0.98213637,-0.4681778,0.13637567,0.044593163,0.1501965,AGGRESSIVE,3582397
1.7500061,0.92053634,-0.67908573,0.030085113,0.010995574,0.10010554,SLOW,3583153
0.98893857,-0.4870469,-1.0913162,-0.049938235,-0.099571034,-0.06421721,AGGRESSIVE,3582796
0.76982486,0.86820924,0.4110756,0.046578474,0.03481932,0.020082194,SLOW,3583536
0.59603715,0.38636583,-0.4039297,-0.068264194,0.01282817,0.087277375,SLOW,3583637
0.23182261,0.7650831,1.0231123,-0.0035124752,0.05497787,-0.018402316,SLOW,3583298
0.7059561,0.98366845,0.64850426,-0.007788532,0.06169739,0.0017562376,NORMAL,3581898
1.2344418,0.24361688,-0.76875114,0.0062613687,-0.015271631,0.0048105638,AGGRESSIVE,3582532
0.19444942,-0.0077255517,0.8419733,0.029474247,-0.005497787,-0.025121834,NORMAL,3581905
2.474194,1.2738419,-0.5273247,-0.010842858,0.10873401,-0.13935363,SLOW,3583415
-0.19287658,0.10468605,-0.6497555,-0.01695151,0.03970624,0.009697486,SLOW,3583643
-0.36796176,0.4169026,0.54393864,-0.005955936,-0.0012217305,-0.01779145,SLOW,3583173
0.12748528,-0.27923328,-0.40590286,-0.04505131,0.0067195175,0.015195273,SLOW,3583623
0.29991055,1.5577639,-0.68495655,-0.1049161,-0.15210545,0.06834055,AGGRESSIVE,3582563
-0.2045176,-0.64454436,0.71335506,0.03924809,0.16126843,0.03352123,NORMAL,3582025
0.20540357,0.66113955,0.021569252,0.0056505036,-0.02076942,0.04024075,SLOW,3583435
1.0354649,0.9542857,0.3492403,-0.021838432,0.04886922,0.0005345071,AGGRESSIVE,3582469
0.016498089,0.22365475,0.90029716,0.017256944,0.058643065,0.0048105638,NORMAL,3581883
0.050956964,0.55338794,0.18650818,0.02397646,-0.02443461,0.03901902,SLOW,3583767
-1.0898349,-0.7003213,-0.7831478,0.063682705,-0.10140363,-0.048945576,NORMAL,3582051
0.14780664,-0.8298882,-1.2760372,0.0050396384,-0.017715093,0.034742963,AGGRESSIVE,3582490
-0.68940973,1.1755192,1.1365519,0.06246097,0.1001819,0.038408153,NORMAL,3582099
1.5654013,-0.6560854,-0.3070774,-0.018784106,0.10445796,-0.007406741,SLOW,3583125
2.044987,0.62685335,0.36093807,0.027030786,0.0030543262,-0.12408201,SLOW,3583738
-0.20232117,-0.55745494,-1.6002436,0.020922136,-0.080634214,-0.0110719325,SLOW,3583526
1.6197045,0.18361342,-0.2315979,0.051465396,0.07391469,0.031688634,NORMAL,3582140
1.1579564,0.8846026,-0.85350513,0.001985312,0.08002335,0.34750596,AGGRESSIVE,3582688
0.68341494,-1.6282524,-0.64326,-0.075594574,-0.06719518,0.08544478,AGGRESSIVE,3582406
-0.17189527,-0.40889418,0.41465282,0.009315695,0.0580322,-0.019624045,NORMAL,3581634
-0.91020346,-0.525962,2.0258179,0.07467828,-0.043982297,0.15080735,SLOW,3583728
0.73304987,0.977846,0.63739395,0.089949906,-0.23090707,-0.87239194,SLOW,3583109
0.7303755,-0.16196689,-0.120209694,0.036193766,-0.07819075,0.0011453723,NORMAL,3582013
-0.3473251,0.0853177,-1.4288893,-0.046883907,0.034208454,-0.13691017,NORMAL,3581828
0.32004356,-0.26169434,-0.53144836,0.032528576,-0.010995574,0.007254025,AGGRESSIVE,3582593
-0.60901856,-0.12754649,-0.5341139,-0.07009678,-0.13439035,0.13125966,SLOW,3583733
-0.5680224,0.43675834,0.7887192,-0.06704246,0.0030543262,0.0463494,NORMAL,3582001
0.95557094,0.9329562,1.4623022,0.023365596,-0.28955013,-0.09476047,SLOW,3583301
-0.22082293,1.5953363,-0.34357262,0.029474247,-0.021380283,0.002977968,AGGRESSIVE,3582635
-0.09598982,0.2698052,0.4603901,-0.064599,-0.22052236,-0.014737124,SLOW,3583550
-0.44805777,0.42537573,-4.188234,0.028863383,-0.19730948,0.3664428,AGGRESSIVE,3582762
0.15288877,-0.28587577,-0.17908955,0.00992656,0.14172074,0.053068917,SLOW,3583745
