AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp
-0.67345536,-0.21498835,-1.399023,0.040927973,0.00022907447,-0.0032070426,820539
0.5591781,-0.32748806,0.5827942,0.017104227,-0.03153592,-0.004428773,819840
1.4884672,1.326464,-0.8127489,-0.027488936,0.030772336,0.008399397,819712
0.5346879,0.1245147,0.7901821,0.002443461,0.06375906,0.13973543,820252
-2.0789933,0.66475636,1.726429,0.16065755,-0.21968241,0.18127427,819611
0.16910136,-1.0090933,-0.20718479,0.022602014,-0.044974953,0.1647809,818972
1.3044732,-0.65271217,-0.334486,-0.01160644,0.011224649,0.01695151,819777
0.02441883,-0.25096774,-0.032253265,-0.0012217305,-0.048640147,0.062155537,818973
0.5584898,-0.3311128,0.5630903,0.02565634,0.037491854,-0.025809057,819203
-0.16846085,1.0032606,-0.12667274,0.023823744,0.039935317,0.19043724,819776
0.41428518,-0.05302477,-0.4828701,0.02687807,0.0081703225,0.013286319,819505
1.4846977,0.22454488,-1.1650267,0.030543262,0.045433104,0.01817324,819030
-0.03604412,-0.17091045,0.53518295,-0.0012217305,-0.093844175,-0.0056505036,819743
-0.23269188,-0.17138374,0.28374672,0.002443461,0.009392053,0.16417004,820368
0.10604775,0.19408044,-0.3249178,0.04520403,0.080252424,0.15012014,820453
-0.43555117,0.3917485,0.46170235,-0.13072516,-0.02359467,-0.009315695,819652
1.3765585,1.8194126,-0.49733448,0.09590584,-0.02603813,0.2649628,819250
0.31927323,-0.50328547,0.5120659,0.01160644,0.14500414,0.013897184,820278
0.24790359,-0.028078854,-1.0183802,0.02565634,-0.02603813,0.082924955,819536
-0.027732491,0.3511112,0.043193817,-0.02321288,-0.05352707,-0.02275473,820341
-0.29641867,0.070494294,-0.12670994,-0.009773844,0.025885414,0.0071776668,819923
2.2412896,-0.31026074,-2.0175,-0.0,0.032604933,0.008399397,820098
1.1349735,-0.908694,-0.031770706,-0.005497787,0.12667818,-0.05879578,819856
0.7407178,-1.1251107,0.55951214,0.01160644,-0.038255434,0.1684461,819829
-0.17577887,-0.018944636,0.28749084,0.018325957,-0.101174556,-0.020922136,820173
1.8974414,-1.4548142,2.7218962,-0.061086524,0.032604933,-0.042913284,819066
0.12186766,0.2817629,0.07397652,0.013439035,-0.008323039,0.1207986,819149
1.6114457,-0.1157051,0.98192024,0.021991149,0.15294538,-0.055741455,819858
3.1199036,1.2235885,1.2008982,0.02443461,0.0045051314,0.12690726,819077
-0.5245774,-0.25839394,1.0285997,-0.00061086525,-0.08895725,0.111635625,819253
0.9526372,0.2922296,-0.09326935,-0.24617869,0.13523029,-0.75640386,820264
1.0076776,-1.1996148,0.25804996,0.002443461,-0.02359467,0.02367103,819237
-0.05791235,-0.18303132,-0.08864117,-0.01282817,0.027107146,0.00290161,819148
1.2890105,0.6352307,-1.7492986,-0.111177474,-0.11827879,-0.21762075,820262
-0.8452424,-0.3972571,1.5566597,0.073303826,-0.15187638,0.09514226,820241
0.39398098,0.024508327,0.21981812,0.017104227,0.06803512,0.013897184,820386
0.6349726,1.2439321,-0.9597254,-0.044593163,0.04482224,-0.11377365,819813
-0.5134691,0.56513464,0.62295914,0.0030543262,0.019165898,0.022449298,820053
-0.64553297,-0.6448109,0.10535431,-0.047036625,0.050320026,0.013286319,820633
-0.60243726,1.4536252,0.3399372,-0.026267206,-0.0022143866,0.04505131,819879
0.35706532,0.42051226,1.9158211,0.09773844,-0.008323039,0.2930626,819251
0.46028578,-0.4236166,-0.6993742,-0.004276057,0.008781188,0.39935315,819694
1.0451918,0.9023073,0.4558792,0.00061086525,-0.06574437,-0.03680463,819876
-0.80498934,-0.7172109,-0.81783676,0.026267206,-0.040698897,0.0035124752,819836
0.36075568,0.40996626,-0.035393715,-0.02687807,-0.076739945,-0.01786781,820684
-0.9096042,-0.084836036,0.98749065,-0.062308256,-0.014431692,0.01817324,820313
0.19230938,0.09930033,-0.3857565,-0.0012217305,0.0075594573,0.04505131,820036
0.11885524,-0.7051196,1.2107697,0.056199603,0.13828462,0.049938235,820156
-1.8697672,-1.2675632,1.0498133,-0.0580322,-0.05841399,-0.03191771,820570
0.12700403,0.1782352,0.45044518,0.025045475,0.033826664,0.018784106,820045
-1.0781184,-0.39323342,-1.5615001,0.0067195175,-0.016875152,-0.0050396384,820588
0.87569976,-1.5194216,-1.0645456,0.01038471,0.022220224,0.09330966,819623
0.83006525,1.4769192,-0.11259937,-0.020158553,0.06009387,0.0071776668,818980
-0.2048378,0.016652822,0.8775549,0.015882496,0.07108945,0.0053450707,820374
0.14355886,-0.2737527,0.54123116,0.0012217305,0.08819367,-0.006872234,819163
1.9223182,0.82150507,-0.005502701,0.18081611,0.16088663,0.009010263,820223
-2.3980463,-0.5170219,-0.40405464,-0.027488936,-0.024816401,0.2350304,819210
0.26344442,0.6759006,-0.31730652,0.035430185,0.06314819,0.00290161,819924
1.925802,1.7777147,-0.7758856,0.093462385,0.2842814,-0.11804971,819307
0.5871165,-0.1436269,-0.15495396,0.01282817,-0.26122126,-0.045356743,820083
0.28999853,-2.4422278,-0.63167477,0.1282817,-0.042531494,-0.06246097,819597
-0.43318236,-0.28594798,-0.3990717,0.002443461,0.031994067,0.010842858,820446
1.0917172,0.9911862,-0.056362152,0.01160644,0.037491854,0.0041233404,820164
-0.07807255,0.5889431,-0.32203197,0.007941248,0.016722437,-0.010537425,819467
-0.2910776,0.44398558,-0.18704128,0.106901415,0.081474155,0.008399397,819662
1.1457686,-0.9693459,0.65653133,-0.020158553,-0.015042556,-0.069791354,819811
-3.0016093,-0.869107,-2.178069,-0.03176499,-0.36995527,0.20937407,819074
-0.18746305,0.8234885,0.12899685,-0.017715093,-0.009544769,0.03283401,819468
0.48816895,-0.3561852,-0.1128273,0.007941248,-0.055970527,-0.018478673,820508
0.004903555,0.10081666,0.16425705,0.02443461,0.008781188,0.09208794,819153
-1.6469108,-1.33998,2.1377964,-0.009162978,-0.17264579,-0.08750644,819871
-0.43674183,-0.16641623,0.68302727,0.034208454,0.02649628,0.01572978,818962
0.9173143,0.6519929,1.8687963,-0.009773844,-0.0052687125,0.0065668016,819296
0.8560004,1.4233736,-0.0036964417,0.005497787,-0.057803124,0.034055736,820110
-0.82857,-2.4774916,4.7603045,0.13133603,0.3123812,0.2228131,819977
0.4310615,-0.44351435,-0.7006836,0.016493361,0.041157044,0.00290161,820424
0.13429165,-0.5627823,1.0795279,-0.0,-0.028481591,0.005955936,819819
0.038393736,0.22999944,1.0772219,-0.07147124,-0.056581393,-0.09117164,819120
-0.37264,-1.5539005,2.3925858,-0.05009095,0.18104519,-0.061850104,820183
1.2749629,1.3084296,0.14286995,-0.015882496,0.061926465,-0.012370021,819010
0.60436714,-0.7918956,0.09932804,-0.02687807,0.027107146,-0.054519724,819869
1.842964,1.2900517,1.5261059,-0.02565634,-0.12744176,0.0096211275,819065
-0.15287638,0.2928204,-0.18515301,0.0580322,0.09857838,0.10125092,819073
-0.43912995,-0.028521419,0.14598083,0.009162978,-0.05169447,0.16050485,819940
0.59517074,0.36660868,-0.86481285,-0.05681047,0.2213623,0.046883907,820232
0.26236796,0.8487444,-0.06465721,-0.002443461,0.0045051314,0.033444874,819339
0.009277463,0.30550766,0.26566792,-0.010995574,0.020387627,0.09697486,819514
0.058745444,-0.03410983,-0.20303154,0.04886922,-0.028481591,0.12996158,818956
-0.8429476,-1.3758154,0.13143063,0.05131268,-0.0107665,0.026725354,819806
-0.04338503,-0.68294907,-0.28805065,0.07513642,-0.07735081,0.100029185,820448
-0.48635447,-0.66772574,-0.41821194,-0.026267206,-0.024816401,0.021227567,820565
1.2003891,0.231516,-0.33072376,0.019547688,-0.0016035213,-0.008093964,819888
0.6126547,0.1894117,0.28688335,-0.0,0.020387627,0.01572978,819884
0.6052704,0.37650517,1.3459673,-0.07391469,-0.12927435,-0.019700404,820237
-0.28978026,-0.11602512,0.29096222,-0.04520403,0.010613783,0.0041233404,819679
0.23046088,-0.034508895,0.25788975,-0.044593163,-0.030925052,-0.0032070426,819724
0.73655415,-0.268534,-0.4571495,0.03726278,0.110795684,0.017562376,819888
0.8353479,1.264418,-0.3331051,0.027488936,0.05093089,0.013897184,820336
-0.08700681,-0.40067935,0.008747101,-0.036651913,-0.066355236,0.09697486,820454
0.18081343,-0.14674848,0.38987064,-0.02443461,-0.010155635,-0.012370021,820180
0.95075154,-0.104726166,0.53203106,-0.055588737,0.03443753,-0.029474247,819605
-0.5295055,0.57943904,-0.47537422,0.021380283,0.0613156,0.032223143,820135
0.072939634,-2.048904,0.43801212,-0.106901415,-0.13110696,-0.0050396384,819092
0.5112251,-1.0159371,1.5272408,0.11056661,-0.04558582,-0.014202617,819235
0.5887182,0.9398683,-0.55409336,0.018936822,0.064369924,-0.0032070426,819199
-0.66990626,-0.6674539,-0.60788536,-0.01038471,0.03443753,-0.004428773,819766
0.33408463,1.0707065,-0.0968132,-0.021991149,-0.04314236,-0.10705414,819091
0.25008225,0.45211637,-0.7765646,-0.042760566,-0.010155635,0.018784106,820457
0.64927864,0.15767622,0.40373516,-0.007330383,-0.01198823,0.055436023,819449
-0.28088808,-1.1360557,-0.9250107,-0.092240654,-0.035811976,0.0035124752,819261
0.4069345,-0.48963958,-0.32310677,-0.06047566,-0.07612908,-0.014202617,819682
0.4839561,0.46708095,-0.573267,-0.0720821,-0.04008803,-0.15958855,820031
-0.8449347,0.46167135,1.8377256,0.022602014,0.0020616702,-0.019700404,820510
-0.75113654,0.6994697,0.07236862,-0.09101892,-0.120111376,-0.029474247,819321
0.8056288,-0.13602313,-1.4439192,-0.028710667,0.07903069,0.04016439,819763
2.1320033,3.000411,3.7151222,0.016493361,0.05337435,-0.028252518,819876
-0.09533501,0.20315516,-0.51956844,0.015882496,0.0173333,-0.044135015,820637
-0.06406617,0.3173344,0.9116888,0.07819075,0.06253733,-0.042913284,819094
-0.700552,-0.15935495,-0.0628891,0.048258353,0.0026725354,0.27473664,819963
0.49502337,1.030018,-0.41098976,-0.005497787,0.017944166,-0.039858956,820552
1.4238813,0.41938475,0.3055153,-0.00061086525,-0.012599096,-0.011148291,820426
-0.091501,0.7912082,-1.6597753,0.07391469,-0.016264288,0.04505131,819753
-0.098572016,0.21372171,0.6967621,-0.021991149,0.008781188,0.00290161,820375
1.2469288,-0.017529555,-1.1372223,-0.021380283,-0.038255434,-0.012370021,819651
0.2383908,0.029413342,0.33282852,0.0012217305,-0.015042556,0.023060163,818925
1.0460941,-0.11537421,-0.70688057,0.022602014,-0.017486017,-0.009315695,819770
0.41003048,1.0634978,1.1275225,-0.0018325958,0.0075594573,-0.025809057,819328
-0.37373537,0.14606029,0.4749689,-0.032986723,-0.022372939,-0.0025961774,819640
1.5911353,0.9994885,0.07610893,-0.07391469,0.025274549,-0.15042557,820462
0.53948593,0.6941153,0.7145138,0.035430185,-0.029092457,-0.020922136,819258
-0.5739709,-0.57123804,-0.6832228,0.11789699,0.28000537,0.10430524,820070
0.5418165,0.29265392,0.20589733,-0.034208454,-0.14760031,-0.00076358154,819897
0.6675599,-0.03861046,0.23141575,-0.054367006,-0.0077121737,0.22525656,818923
0.33289933,-0.21730673,0.23791695,-0.02687807,-0.05047274,-0.02031127,819755
-0.10634112,-0.009238511,0.28450108,-0.0,0.072922036,-0.008093964,820167
-0.01225698,0.067994416,0.24002743,-0.004886922,0.04604397,0.18493946,820701
-1.2280824,-1.9139626,0.4065523,0.1301143,0.51579934,-0.0025961774,819584
-0.4761901,0.1792252,-0.79408836,-0.12095132,-0.076739945,0.025503624,820618
-0.78460145,-0.5851465,0.46157265,-0.0030543262,-0.03642284,0.007788532,819505
2.4506283,0.85868734,1.5376062,-0.043982297,-0.024816401,-0.082619525,819903
0.15467763,-0.4956593,1.245964,-0.002443461,-0.060246583,-0.11927144,819929
-0.3258282,-1.6751795,1.0043116,-0.03481932,-0.05352707,-0.030085113,819688
0.035859585,0.4753675,1.2820492,0.043982297,-0.029703323,0.0010690142,820168
0.78540623,0.3563553,0.086961746,0.019547688,0.29222265,0.12385293,819022
0.14657116,-0.5129465,0.004658699,0.047647487,-0.008933905,0.12629639,819151
-0.85386753,-0.8143393,0.34527874,-0.021991149,-0.13232869,0.0364992,820239
0.1619637,-0.42168716,0.7636738,-0.02565634,0.012446379,0.031612277,818949
0.93786,-0.6707002,0.3923502,-0.028710667,-0.03214678,-0.11133019,819958
-0.36810088,-0.83352304,1.0102434,-0.036651913,-0.08407033,0.13057245,819708
3.2297819,-0.94971305,-0.31031227,0.05009095,0.08697194,-0.1956296,819041
-0.21801639,0.1724273,0.26819038,0.053145275,0.011835515,0.071318515,820484
0.67316854,-0.7534156,0.19704533,0.004276057,0.091248,0.045662176,819174
0.029505014,0.10766506,0.49456882,0.004886922,0.016111571,-0.00870483,818940
0.039550066,-0.46601707,0.068888664,-0.049480084,-0.03214678,-0.19501872,819943
0.5746982,1.5053835,-1.4354658,-0.03604105,0.021609358,0.07498371,819288
0.86544156,-0.49011314,0.16178417,-0.02443461,-0.059024855,-0.10949759,819305
0.5011444,0.22542346,-0.21639252,0.042760566,-0.020540344,0.45616361,819694
0.6643903,0.33710957,-2.3424697,0.018325957,-0.029703323,0.10247265,820526
-0.2314055,-0.3507862,-0.83582115,-0.031154128,-0.04680755,-0.004428773,820407
0.51972365,0.28498927,0.81509686,0.008552114,0.00022907447,-0.023365596,820382
0.109383345,0.7600299,-0.39741993,-0.05009095,0.061926465,0.062155537,819096
-1.6413047,-0.9089011,0.6358805,-0.030543262,-0.02115121,0.03894266,819001
-1.0422413,-0.45050484,-0.5179968,0.009162978,0.0020616702,0.049938235,819487
0.45562708,-0.7237902,1.2551594,-0.13622294,-0.16226108,0.012064588,819100
-0.008044481,0.96553576,-0.032841682,-0.027488936,-0.07612908,-0.0056505036,820458
0.100415945,0.22417864,-0.41949177,0.002443461,-0.037033707,0.011453724,820589
2.587015,-0.7532729,-0.69731426,-0.021991149,0.059483003,-0.03924809,819267
1.2445259,1.4744413,1.2470064,-0.05681047,0.069867715,0.15745051,819188
0.44697404,0.06544337,0.8741293,-0.065973446,0.16455182,0.01572978,820106
1.0972096,-0.6142412,0.16422367,-0.02076942,-0.054137934,0.029168816,819340
-0.306144,0.16116959,-0.049987793,-0.021991149,-0.076739945,0.57894754,820699
-0.06915331,-0.007852912,0.50300884,-0.016493361,-0.009544769,0.0071776668,819106
0.6374215,1.7610035,-0.5352373,0.008552114,0.031994067,-0.001985312,819710
-0.7178025,-1.2741568,-2.3988366,0.008552114,0.019165898,0.008399397,819767
1.5729251,0.039164715,-0.63984203,-0.0067195175,0.023441954,-0.009315695,819501
0.5056838,-0.7797299,0.45672226,-0.032986723,0.018555032,-0.013591751,819768
0.7489873,-0.4870969,0.65547085,0.059864793,-0.016875152,0.0041233404,819121
-0.52562344,-0.20673692,0.10255146,0.007330383,-0.016875152,0.0041233404,819165
0.904145,0.49050748,0.015512466,0.021380283,0.012446379,-0.007483099,819878
-0.60821843,0.6602335,0.38430023,0.029321533,-0.022983804,-0.016646078,820383
-0.47692168,-0.28390607,-0.74427414,-0.027488936,-0.020540344,0.07009678,820153
-0.27441406,-0.8969488,0.7204943,-0.032375857,-0.070631295,0.08109236,819450
-0.25933552,1.5795231,0.25769615,-0.0012217305,0.005726862,0.005955936,819148
-1.1136618,0.66870093,0.494483,-0.04153884,0.044211373,-0.104610674,820501
-0.22440147,-0.4232006,-0.2016344,-0.022602014,0.036270123,-0.038026363,819636
1.04809,1.1793902,-0.23148727,0.013439035,-0.004046982,-0.0050396384,820532
-0.2211802,-0.25617743,-0.49113178,0.012217305,0.0332158,-0.052687127,819309
-0.49762297,0.15951478,-0.49050617,-0.0067195175,0.09674578,0.0096211275,820050
0.078654766,-0.5000528,-1.365902,0.0067195175,0.044211373,-0.024587326,819916
0.08680105,0.10689244,0.1471405,-0.029932396,0.012446379,-0.012370021,819914
-0.035779,-0.989095,-1.8091865,0.016493361,-0.005879578,-0.012370021,820644
0.14355183,1.39119,-0.4286232,0.032375857,0.033826664,0.0022907446,818963
-0.25301385,-0.07251692,0.18630123,-0.013439035,0.0081703225,0.01572978,819154
-1.5324132,-0.6226553,0.58590984,0.008552114,0.010613783,-0.0050396384,820601
-0.27716637,0.2625503,0.026835442,-0.007941248,0.0020616702,-0.014813482,820651
0.40352297,-0.42918772,0.41421223,0.01282817,-0.01198823,0.008399397,820413
0.33294892,-0.56116974,0.38470745,-0.004886922,0.01488984,-0.029474247,819455
