AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Timestamp
-0.830726,0.15099631,0.4319849,-0.03970624,-0.082237735,0.0346666,819878
-0.70614195,0.5214016,0.7219057,0.02076942,0.02649628,-0.02275473,820172
0.38695955,2.487391,0.027147293,0.004276057,0.051541757,0.0016798794,819508
-2.136158,-0.6412716,1.5205526,0.028710667,0.06314819,-0.00076358154,819911
0.7811972,-0.5983273,0.1603508,-0.023823744,0.016111571,-0.007483099,819781
0.23943341,1.158268,-0.74325466,-0.02687807,-0.04192063,-0.022143865,820622
0.10849357,0.7714462,0.33483315,-0.08307768,0.05215262,0.010842858,819920
0.15781641,0.054396212,-0.054347992,0.073303826,0.199982,0.0065668016,820304
-0.24112463,1.0727291,0.59008026,0.03359759,0.05215262,0.1769982,819156
1.1968477,0.63978803,2.2474842,-0.01282817,0.13706289,0.043829583,819555
-1.1838069,0.20522904,0.30257034,-0.03604105,-0.027870728,-0.11377365,819787
0.36664152,-0.45493683,1.3501196,-0.037873644,-0.12377657,-0.13820826,820197
-0.39401895,-0.2526343,0.07267952,0.06719518,0.0008399397,0.2667954,819143
0.669502,0.83451515,-0.8216982,-0.058643065,0.06681339,-0.10888673,820187
-1.0397677,-0.88595015,0.12576675,0.010995574,0.06498079,-0.014813482,820342
-0.9029094,-0.20586824,1.3978615,0.06414085,-0.046196684,0.18432859,819823
1.1424448,1.1666042,-1.7912002,-0.11178834,-0.20868684,-0.120493166,819273
0.17240667,-2.1382942,0.49825287,-0.07147124,-0.16348282,-0.044745877,819319
0.50363255,-0.25377703,-0.050501823,-0.0018325958,-0.03397938,0.010231993,820305
0.49319983,-0.15392506,0.10267162,-0.081855945,-0.033368513,-0.18341228,819344
3.0834522,-0.5676542,-0.005417824,0.07513642,-0.03397938,-0.05024367,819236
-0.17161465,-0.105549335,0.3674612,0.04337143,-0.029092457,0.18921551,819702
-0.08776617,0.17779681,-0.16442299,-0.022602014,-0.06207918,-0.0025961774,820388
-2.0278811,-0.026340961,-1.3620901,0.0067195175,0.10224357,0.300393,819249
0.37971187,0.13926822,0.21725178,-0.020158553,-0.06452264,0.1684461,819214
-0.42568564,-0.62521994,0.18900967,0.004886922,0.025274549,-0.02031127,819918
-0.33160675,-1.0755042,0.17556477,-0.014660766,-0.0028252518,-0.001985312,820551
-2.772006,-2.3382683,2.061782,0.06841691,-0.10239629,0.2759584,819079
0.102344036,0.24820487,0.2563305,0.02321288,-0.013820826,0.00045814895,820396
-1.2904048,2.201264,-2.6328564,-0.012217305,0.088804536,-0.006872234,820146
0.88297963,-0.059732005,-1.1800137,0.062308256,0.17982346,0.022449298,820166
-0.48107505,-0.058787525,1.0311899,0.012217305,-0.0028252518,-0.012980887,820311
4.1817102,-1.0910995,-3.0380564,-0.18570304,-0.11217013,-0.16630806,819044
-0.009498715,0.20804593,-0.39558697,-0.014049901,0.006948592,0.08659015,819499
0.6999185,1.7562777,0.6079931,0.031154128,0.006948592,-0.027030786,820042
0.9222051,1.394556,-1.0096741,-0.007941248,0.0081703225,0.029168816,819338
0.41903305,0.59953797,-0.32215786,0.014049901,-0.0028252518,0.017562376,819522
0.1347096,0.46961397,-0.7104788,0.11911872,-0.055970527,-0.019089539,820422
0.07066393,-0.28761297,-0.52220917,0.029321533,0.0020616702,-0.0062613687,820670
-0.07803464,-1.4577281,1.1853352,0.017715093,0.12118039,0.09941832,819822
0.056168616,0.1621269,-0.16758347,0.06414085,-0.024205536,0.19960022,819354
-0.4699397,-0.47871935,0.19086266,-0.014049901,-0.032757647,0.011453724,820618
-0.49023867,0.2970085,0.18148994,-0.019547688,-0.022372939,-0.12110403,819929
-3.6504412,-0.8480129,0.3113222,-0.049480084,-0.0107665,0.15683965,819074
0.25251973,0.07053873,-1.7635036,0.089186326,-0.09628764,0.048716504,819034
1.2152193,0.41720176,0.15702057,-0.050701816,-0.00038179077,0.033444874,819747
1.7660139,1.6469723,0.41692638,-0.057421334,0.0045051314,-0.10277808,819815
0.36236334,0.42818913,-0.4547224,0.023823744,0.0173333,0.005955936,820131
-0.46743485,-0.5437763,0.108426094,0.030543262,0.0045051314,0.14523321,819497
0.77854156,0.42246002,-0.44081783,0.0012217305,-0.052305337,-0.011148291,820343
0.27630258,-0.98631394,0.8211317,0.09590584,-0.00038179077,0.015118915,819544
2.8460383,2.2042406,0.5604172,0.002443461,0.13095424,-0.08628472,819243
1.5164689,-0.058021307,0.46322346,-0.025045475,0.11140655,-0.22128594,819220
-3.178716,0.25869521,-0.5365162,0.11362094,-0.1109484,0.0346666,819018
0.11704087,0.16705662,-0.1411171,0.012217305,0.051541757,0.024281893,819890
0.7784617,0.9751879,-0.9898443,-0.012217305,0.024663685,-0.00015271631,819719
-0.37979972,-0.5992751,-0.08323765,0.0067195175,0.06498079,0.0022907446,820622
0.1190878,-0.20356214,0.21995544,0.07880162,-0.004046982,0.527024,819349
0.031090021,-0.31610942,0.5351896,-0.015271631,0.04848743,0.031001411,820617
0.026802897,-1.5931504,1.2865906,0.007941248,0.11323915,0.05421429,819209
0.41649154,-0.0049688765,-0.27010155,0.049480084,-0.03397938,0.29061913,819973
0.6024556,1.0922241,0.22054768,-0.034208454,0.024663685,-0.025809057,818945
0.17505538,-0.04473257,0.16992378,0.002443461,-0.04314236,0.011453724,820065
1.7055433,-0.26320234,-0.1307993,-0.092240654,0.020998493,-0.44303003,820030
-0.65313095,-1.8985004,1.9772034,-0.014660766,-0.011377365,-0.03680463,819062
-0.9976921,-1.5958757,-0.3856306,-0.092240654,-0.13232869,0.035888333,819587
2.812831,-2.4217653,-2.5972385,-0.02076942,0.13767375,-0.05879578,819240
0.08131111,0.009640217,0.14701271,0.02565634,0.049098294,0.018784106,820687
-0.64353323,-0.6593038,-0.3025427,-0.00061086525,-0.016264288,0.00045814895,820128
-0.4406935,-0.6665633,0.2986803,0.03726278,0.0075594573,-0.004428773,818942
